city,topic,volume,continent
London,#LoveIsland,114372,Europe
London,#kinkybritain,None,Europe
London,Pokemon,2901194,Europe
London,#TheresaMay,41806,Europe
London,#r4today,None,Europe
London,#BO3Descent,None,Europe
London,Gazza,34391,Europe
London,Portuguese,65915,Europe
London,Payet,64873,Europe
London,Pokémon Go,1430602,Europe
London,Brian Cox,None,Europe
London,Nani,57811,Europe
London,Paul Gascoigne,10264,Europe
London,Waterloo,None,Europe
London,Higuain,21771,Europe
London,Pogba,88851,Europe
London,Ibiza,19604,Europe
London,#Ronaldo,20379,Europe
London,#mondaymotivation,146116,Europe
London,#trainspottingLIVE,None,Europe
London,#BritishGP,13942,Europe
London,#OHYESNIALL,544412,Europe
London,#UFC200,29374,Europe
London,#universitychallenge,None,Europe
London,#999whatsyouremergency,None,Europe
London,#Exodus,None,Europe
London,#Wimbledon,30741,Europe
London,#LabourLeadership,20009,Europe
London,#ForcesOfNature,None,Europe
London,#BlackLivesMatter,368664,Europe
London,#Murray,None,Europe
London,#TeenChoice,930429,Europe
London,#Corrie,None,Europe
London,#WentworthPrison,None,Europe
London,#hmvsummertech16,None,Europe
London,#HipHopHonors,288640,Europe
London,#newsnight,None,Europe
London,#SuperHero16,None,Europe
London,#Cameron,None,Europe
London,#CLFoodAwards,None,Europe
Athens,Δημητρης Μαρωνιτης,None,Europe
Athens,#SocialMediaKing,95078,Europe
Athens,Ευρωπαιοι,None,Europe
Athens,Δημοκρατικη Ευθυνη,None,Europe
Athens,Eurogroup,None,Europe
Athens,#EimaiKaiGoEdo,None,Europe
Athens,Ροναλντο,None,Europe
Athens,#OHYESNIALL,543339,Europe
Athens,Πορτογαλια,None,Europe
Athens,Εξαρχεια,None,Europe
Athens,Μισιγκαν,None,Europe
Athens,Παρθενωνα,None,Europe
Athens,Pokemon GO,1449579,Europe
Athens,Πειραια,None,Europe
Athens,Ελληνικης,None,Europe
Athens,Φερναντο Σαντος,None,Europe
Athens,Αγορα,None,Europe
Athens,Καμπιασο,None,Europe
Athens,#TheresaMay,41736,Europe
Athens,Βαρουφακη,None,Europe
Athens,Φιλη,None,Europe
Athens,#paobc,None,Europe
Athens,London,227915,Europe
Athens,Μαξιμου,None,Europe
Athens,Παισιου,None,Europe
Athens,#kammenos,None,Europe
Athens,#ttot,None,Europe
Paris,#ADP2016,None,Europe
Paris,#FRAPOR,349142,Europe
Paris,Portugal,801097,Europe
Paris,Ronaldo,591693,Europe
Paris,Eder,225541,Europe
Paris,#FiersdetreBleus,49060,Europe
Paris,#peopleanddigital,None,Europe
Paris,#PrimeDay,12384,Europe
Paris,Mutualité,None,Europe
Paris,Pour 59,None,Europe
Paris,Revel,None,Europe
Paris,Kentchétiélétchié,10404,Europe
Paris,Saint-Cloud,None,Europe
Paris,Sachs,None,Europe
Paris,Valérie Pécresse,None,Europe
Paris,Michigan,164671,Europe
Paris,Kiwi,20753,Europe
Paris,Save,343713,Europe
Paris,Pr Joyeux,None,Europe
Paris,Sissoko,56164,Europe
Paris,Cristiano,611684,Europe
Paris,Gignac,24653,Europe
Paris,Lisbonne,10783,Europe
Paris,Poissy,None,Europe
Paris,#BourdinDirect,None,Europe
Paris,#LesPrincessesOntDesPoils,None,Europe
Paris,#E1Matin,None,Europe
Paris,#RTLquiz,None,Europe
Paris,#TheresaMay,41736,Europe
Paris,#MardiConseil,None,Europe
Paris,#SocialMediaKing,95078,Europe
Paris,#JO2024,None,Europe
Paris,#le79inter,None,Europe
Paris,#30Glorieux,None,Europe
Paris,#MorningBest,None,Europe
Paris,#Territoiresdinfos,None,Europe
Paris,#Quantico,None,Europe
Paris,#TransfoNum,None,Europe
Paris,#E1Bonjour,None,Europe
Paris,#Brevet2016,None,Europe
Paris,#OHYESNIALL,543339,Europe
Paris,#PrayForFrance,68861,Europe
Paris,#GuessMyAge,None,Europe
Paris,#19hlive,None,Europe
Paris,#PokemonGO,800259,Europe
Paris,#MarathonHPduMinistre,12834,Europe
Paris,#RendezNousLaBiscotteSurSnap,None,Europe
Paris,#TuEsPotterheadSi,14610,Europe
Paris,#EspritsCriminels,None,Europe
Paris,#14juillet,None,Europe
Berlin,#TheresaMay,41736,Europe
Berlin,#PORFRA,47098,Europe
Berlin,#PokemonGO,800259,Europe
Berlin,#Rigaer,None,Europe
Berlin,#TTIP,None,Europe
Berlin,Beyoncé,92559,Europe
Berlin,Ronaldo,591693,Europe
Berlin,Motten,None,Europe
Berlin,Europameister,None,Europe
Berlin,David Guetta,None,Europe
Berlin,Tim Duncan,804119,Europe
Berlin,Elfmeterschießen,None,Europe
Berlin,Angela Eagle,62638,Europe
Berlin,#BILDTownhall,None,Europe
Berlin,#PrimeDay,12384,Europe
Berlin,#12von12,None,Europe
Berlin,#SocialMediaKing,95078,Europe
Berlin,#TheOpen,None,Europe
Berlin,#Traumfraugesucht,None,Europe
Berlin,#OHYESNIALL,543339,Europe
Berlin,#Ancelotti,None,Europe
Berlin,#Portugal,48391,Europe
Berlin,#mondaymotivation,152646,Europe
Berlin,#Uncovered,None,Europe
Berlin,#Prisma,None,Europe
Berlin,#schulreim,None,Europe
Berlin,#wmfra,None,Europe
